time;speed
0.000000;0.00
0.010000;0.00
0.020000;0.00
0.030000;0.00
0.040000;0.00
0.050000;0.00
0.060000;0.00
0.070000;0.00
0.080000;0.00
0.090000;0.00
0.100000;0.00
0.110000;0.00
0.120000;0.00
0.130000;0.00
0.140000;0.00
0.150000;0.00
0.160000;0.00
0.170000;0.00
0.180000;0.00
0.190000;0.00
0.200000;0.00
0.210000;0.00
0.220000;0.00
0.230000;0.00
0.240000;0.00
0.250000;0.00
0.260000;0.00
0.270000;0.00
0.280000;0.00
0.290000;0.00
0.300000;0.00
0.310000;0.00
0.320000;0.00
0.330000;0.00
0.340000;0.00
0.350000;0.00
0.360000;0.00
0.370000;0.00
0.380000;0.00
0.390000;0.00
0.400000;0.00
0.410000;0.00
0.420000;0.00
0.430000;0.00
0.440000;0.00
0.450000;0.00
0.460000;0.00
0.470000;0.00
0.480000;0.00
0.490000;0.00
0.500000;0.00
0.510000;0.00
0.520000;0.00
0.530000;0.00
0.540000;0.00
0.550000;0.00
0.560000;0.00
0.570000;0.00
0.580000;0.00
0.590000;0.00
0.600000;0.00
0.610000;0.00
0.620000;0.00
0.630000;0.00
0.640000;0.00
0.650000;0.00
0.660000;0.00
0.670000;0.00
0.680000;0.00
0.690000;0.00
0.700000;0.00
0.710000;0.00
0.720000;0.00
0.730000;0.00
0.740000;0.00
0.750000;0.00
0.760000;0.00
0.770000;0.00
0.780000;0.00
0.790000;0.00
0.800000;0.00
0.810000;0.00
0.820000;0.00
0.830000;0.00
0.840000;0.00
0.850000;0.00
0.860000;0.00
0.870000;0.00
0.880000;0.00
0.890000;0.00
0.900000;0.00
0.910000;0.00
0.920000;0.00
0.930000;0.00
0.940000;0.00
0.950000;0.00
0.960000;0.00
0.970000;0.00
0.980000;0.00
0.990000;0.00
1.000000;0.00
1.010000;0.00
1.020000;0.00
1.030000;0.00
1.040000;0.00
1.050000;0.00
1.060000;0.00
1.070000;0.00
1.080000;0.00
1.090000;0.00
1.100000;0.00
1.110000;0.00
1.120000;0.00
1.130000;0.00
1.140000;0.00
1.150000;0.00
1.160000;0.00
1.170000;0.00
1.180000;0.00
1.190000;0.00
1.200000;0.00
1.210000;0.00
1.220000;0.00
1.230000;0.00
1.240000;0.00
1.250000;0.00
1.260000;0.00
1.270000;0.00
1.280000;0.00
1.290000;0.00
1.300000;0.00
1.310000;0.00
1.320000;0.00
1.330000;0.00
1.340000;0.00
1.350000;0.00
1.360000;0.00
1.370000;0.00
1.380000;0.00
1.390000;0.00
1.400000;0.00
1.410000;0.00
1.420000;0.00
1.430000;0.00
1.440000;0.00
1.450000;0.00
1.460000;0.00
1.470000;0.00
1.480000;0.00
1.490000;0.00
1.500000;0.00
1.510000;0.00
1.520000;0.00
1.530000;0.00
1.540000;0.00
1.550000;0.00
1.560000;0.00
1.570000;0.00
1.580000;0.00
1.590000;0.00
1.600000;0.00
1.610000;0.00
1.620000;0.00
1.630000;0.00
1.640000;0.00
1.650000;0.00
1.660000;0.00
1.670000;0.00
1.680000;0.00
1.690000;0.00
1.700000;0.00
1.710000;0.00
1.720000;0.00
1.730000;0.00
1.740000;0.00
1.750000;0.00
1.760000;0.00
1.770000;0.00
1.780000;0.00
1.790000;0.00
1.800000;0.00
1.810000;0.00
1.820000;0.00
1.830000;0.00
1.840000;0.00
1.850000;0.00
1.860000;0.00
1.870000;0.00
1.880000;0.00
1.890000;0.00
1.900000;0.00
1.910000;0.00
1.920000;0.00
1.930000;0.00
1.940000;0.00
1.950000;0.00
1.960000;0.00
1.970000;0.00
1.980000;0.00
1.990000;0.00
2.000000;0.00
2.010000;0.00
2.020000;0.00
2.030000;0.00
2.040000;0.00
2.050000;0.00
2.060000;0.00
2.070000;0.00
2.080000;0.00
2.090000;0.00
2.100000;0.00
2.110000;0.00
2.120000;0.00
2.130000;0.00
2.140000;0.00
2.150000;0.00
2.160000;0.00
2.170000;0.00
2.180000;0.00
2.190000;0.00
2.200000;0.00
2.210000;0.00
2.220000;0.00
2.230000;0.00
2.240000;0.00
2.250000;0.00
2.260000;0.00
2.270000;0.00
2.280000;0.00
2.290000;0.00
2.300000;0.00
2.310000;0.00
2.320000;0.00
2.330000;0.00
2.340000;0.00
2.350000;0.00
2.360000;0.00
2.370000;0.00
2.380000;0.00
2.390000;0.00
2.400000;0.00
2.410000;0.00
2.420000;0.00
2.430000;0.00
2.440000;0.00
2.450000;0.00
2.460000;0.00
2.470000;0.00
2.480000;0.00
2.490000;0.00
2.500000;0.00
2.510000;0.00
2.520000;0.00
2.530000;0.00
2.540000;0.00
2.550000;0.00
2.560000;0.00
2.570000;0.00
2.580000;0.00
2.590000;0.00
2.600000;0.00
2.610000;0.00
2.620000;0.00
2.630000;0.00
2.640000;0.00
2.650000;0.00
2.660000;0.00
2.670000;0.00
2.680000;0.00
2.690000;0.00
2.700000;0.00
2.710000;0.00
2.720000;0.00
2.730000;0.00
2.740000;0.00
2.750000;0.00
2.760000;0.00
2.770000;0.00
2.780000;0.00
2.790000;0.00
2.800000;0.00
2.810000;0.00
2.820000;0.00
2.830000;0.00
2.840000;0.00
2.850000;0.00
2.860000;0.00
2.870000;0.00
2.880000;0.00
2.890000;0.00
2.900000;0.00
2.910000;0.00
2.920000;0.00
2.930000;0.00
2.940000;0.00
2.950000;0.00
2.960000;0.00
2.970000;0.00
2.980000;0.00
2.990000;0.00
3.000000;0.00
3.010000;0.00
3.020000;0.00
3.030000;0.00
3.040000;0.00
3.050000;0.00
3.060000;0.00
3.070000;0.00
3.080000;0.00
3.090000;0.00
3.100000;0.00
3.110000;0.00
3.120000;0.00
3.130000;0.00
3.140000;0.00
3.150000;0.00
3.160000;0.00
3.170000;0.00
3.180000;0.00
3.190000;0.00
3.200000;0.00
3.210000;0.00
3.220000;0.00
3.230000;0.00
3.240000;0.00
3.250000;0.00
3.260000;0.00
3.270000;0.00
3.280000;0.00
3.290000;0.00
3.300000;0.00
3.310000;0.00
3.320000;0.00
3.330000;0.00
3.340000;0.00
3.350000;0.02
3.360000;0.10
3.370000;0.18
3.380000;0.26
3.390000;0.34
3.400000;0.42
3.410000;0.50
3.420000;0.58
3.430000;0.66
3.440000;0.74
3.450000;0.82
3.460000;0.90
3.470000;0.98
3.480000;1.06
3.490000;1.14
3.500000;1.22
3.510000;1.30
3.520000;1.38
3.530000;1.46
3.540000;1.53
3.550000;1.61
3.560000;1.69
3.570000;1.77
3.580000;1.85
3.590000;1.93
3.600000;2.01
3.610000;2.09
3.620000;2.16
3.630000;2.24
3.640000;2.32
3.650000;2.40
3.660000;2.48
3.670000;2.56
3.680000;2.63
3.690000;2.71
3.700000;2.79
3.710000;2.87
3.720000;2.95
3.730000;3.03
3.740000;3.10
3.750000;3.18
3.760000;3.26
3.770000;3.34
3.780000;3.41
3.790000;3.49
3.800000;3.57
3.810000;3.65
3.820000;3.72
3.830000;3.80
3.840000;3.88
3.850000;3.96
3.860000;4.03
3.870000;4.11
3.880000;4.19
3.890000;4.27
3.900000;4.34
3.910000;4.42
3.920000;4.50
3.930000;4.57
3.940000;4.65
3.950000;4.73
3.960000;4.81
3.970000;4.88
3.980000;4.96
3.990000;5.04
4.000000;5.11
4.010000;5.19
4.020000;5.27
4.030000;5.34
4.040000;5.42
4.050000;5.49
4.060000;5.57
4.070000;5.65
4.080000;5.72
4.090000;5.80
4.100000;5.88
4.110000;5.95
4.120000;6.03
4.130000;6.10
4.140000;6.18
4.150000;6.26
4.160000;6.33
4.170000;6.41
4.180000;6.48
4.190000;6.56
4.200000;6.63
4.210000;6.71
